Metabolite,Formula,Fragment,Huh7_Hypoxia_R_1,Huh7_Hypoxia_R_2,Huh7_Hypoxia_R_3,Huh7_Normoxia_R_1,Huh7_Normoxia_R_2,Huh7_Normoxia_R_3
,,met226(M8),1.44E+04,2.88E+04,20741,6.87E+03,1.05E+04,2.02E+04
met__L_c,C13H30NO2Si2S,met320(M0),1.69E+06,2.07E+06,1.40E+06,1.48E+06,1.24E+06,1.71E+06
,,met321(M1),4.39E+05,536595,365621,3.78E+05,3.25E+05,445685
,,met322(M2),244201,3.08E+05,204670,2.18E+05,179160,251232
,,met323(M3),4.86E+04,6.07E+04,4.21E+04,4.24E+04,36187,50112
,,met324(M4),1.44E+04,1.71E+04,1.14E+04,1.30E+04,1.06E+04,1.28E+04
,,met325(M5),2.17E+03,2.20E+03,3.94E+03,2.51E+03,1.16E+03,8.21E+02
,,met326(M6),2.73E+02,7.81E+02,7.78E+02,1133,6.04E+02,0
,,met327(M7),0,8.64E+02,0,1.01E+03,2.07E+02,6.89E+02
,,met328(M8),1.13E+03,2.34E+03,1.51E+03,2.26E+03,1652,3889
akg_m,C14H28O5N1Si2,akg346(M0),109323,117789,6.41E+04,895908,847685,7.28E+05
,,akg347(M1),6.83E+04,38719,28614,4.54E+05,429778,3.49E+05
,,akg348(M2),8.12E+04,7.89E+04,54914,409407,387438,3.24E+05
,,akg349(M3),179116,1.94E+05,1.27E+05,8.03E+05,760529,671387
,,akg350(M4),1.11E+05,1.21E+05,82022,3.00E+05,2.75E+05,2.47E+05
,,akg351(M5),1.59E+06,1783930,1207696,2900310,2562657,2.38E+06
,,akg352(M6),3.30E+05,3.70E+05,255833,6.11E+05,5.32E+05,5.00E+05
,,akg353(M7),152710,1.74E+05,122236,2.82E+05,2.47E+05,226704
,,akg354(M8),2.47E+04,2.48E+04,18525,43277,3.51E+04,3.39E+04
,,akg355(M9),1.07E+05,116322,1.19E+05,9.99E+04,8.36E+04,1.19E+05
mal__L_m,C18H39O5Si3,mal419(M0),3.03E+05,4.48E+05,3.74E+05,4403970,3953080,4464301
,,mal420(M1),155268,236928,194442,2.11E+06,1.93E+06,2.18E+06
,,mal421(M2),2.62E+05,409063,3.30E+05,2.15E+06,2000422,2.22E+06
,,mal422(M3),4.97E+05,8.04E+05,7.05E+05,1.75E+06,1.55E+06,1.75E+06
,,mal423(M4),1.29E+06,2.15E+06,1.64E+06,3.88E+06,3.48E+06,4.10E+06
,,mal424(M5),4.20E+05,7.03E+05,5.40E+05,1.24E+06,1.12E+06,1.30E+06
,,mal425(M6),1.85E+05,3.12E+05,2.36E+05,5.51E+05,4.97E+05,5.87E+05
,,mal426(M7),3.89E+04,6.77E+04,5.00E+04,118635,107464,124218
,,mal427(M8),9887,1.70E+04,11527,2.89E+04,2.57E+04,29973
,,mal428(M9),1.62E+03,2707,1.71E+03,3.97E+03,3.75E+03,4.97E+03
phe__L_c,C14H24NSi,phe234(M0),6.62E+06,8.34E+06,7.39E+06,5969801,5.29E+06,6731823
